Word,Word Score
kudzu,1534.8082191780823
oxbow,1604.2708592777085
vivid,1744.6575342465753
fuzzy,1754.2129514321296
fluff,1798.6936488169365
infix,1831.1083437110835
whiff,1868.7110834371108
puppy,1874.453611457036
buzzy,1874.8863636363637
chuff,1876.7982565379825
civic,1885.338107098381
mummy,1888.0186799501869
jiffy,1937.8318804483188
pygmy,1957.2465753424658
duffy,1966.5516811955167
chuck,1967.1861768368617
puffy,1973.0342465753424
mimic,1975.9315068493152
pobox,1999.3399750933997
ababa,2013.1133250311332
jumpy,2022.1597135740972
bluff,2022.5264632627645
gummy,2037.7736612702365
volvo,2043.3530510585306
jimmy,2054.7876712328766
jumbo,2055.4632627646324
known,2058.6114570361146
dizzy,2058.656600249066
kafka,2059.7951432129516
mamma,2061.2378580323784
muggy,2061.788605230386
whoop,2063.390410958904
injun,2074.956413449564
buggy,2076.753424657534
gruff,2081.6251556662514
hubby,2082.064134495641
dummy,2083.2770859277707
muddy,2095.815691158157
minim,2105.591531755915
which,2108.4713574097136
buddy,2111.1158156911583
mommy,2123.686799501868
hooch,2129.145703611457
scuff,2129.2235367372355
poppy,2129.7876712328766
cuzco,2129.8318804483188
humus,2132.799501867995
bobby,2139.753424657534
kappa,2140.6164383561645
mixup,2140.930884184309
wolff,2142.437110834371
plump,2156.7742839352427
skiff,2158.470423412204
chick,2163.381693648817
swiss,2163.430884184309
chock,2164.3150684931506
buxom,2170.614881693649
vigil,2179.6453922789538
junky,2180.675591531756
vinci,2181.3536737235368
stuff,2185.317559153176
cubby,2187.7590286425902
fifth,2194.352117061021
kombu,2194.3997509339974
chump,2195.9632627646324
essex,2195.9900373599003
gypsy,2196.0102739726026
knick,2201.5018679950185
papaw,2202.26899128269
livid,2203.453300124533
quick,2204.1002490660026
mucus,2205.848381070984
knock,2209.788293897883
gibby,2211.9707347447074
motto,2213.161892901619
foggy,2213.860523038605
cluck,2214.571606475716
gamma,2214.6388542963887
jazzy,2217.1245330012453
booby,2218.80697384807
hutch,2221.9657534246576
magma,2225.2241594022416
giddy,2227.4162515566627
gumbo,2227.6587795765877
pampa,2230.815379825654
quaff,2241.109589041096
dumpy,2242.2615193026154
fussy,2243.4246575342468
hunch,2245.348381070984
mazda,2251.687422166874
fully,2252.3754669987547
hindi,2253.5348692403486
snuff,2254.1466376089666
widow,2255.6217310087172
quinn,2255.9623287671234
bumpy,2258.7770859277707
gibbs,2260.758405977584
piggy,2261.0199252801995
swoop,2264.3913449564134
bongo,2267.5753424657532
fuchs,2269.46699875467
hippy,2270.5283312577835
goofy,2270.937110834371
hough,2271.609589041096
funny,2272.6052303860524
cubic,2272.7266500622663
tizzy,2273.8717310087172
madam,2274.5890410958905
nymph,2274.656288916563
woody,2277.275217932752
beebe,2277.977584059776
biddy,2278.927459526775
quill,2280.5728518057285
vicky,2280.585305105853
idyll,2284.7135740971357
spoof,2285.582191780822
skunk,2290.758405977584
pussy,2291.3278331257784
mccoy,2291.3362391033625
thump,2291.5582191780823
cliff,2291.854296388543
funky,2292.1201743462016
gunny,2292.2157534246576
mooch,2294.810087173101
vying,2295.295765877958
thumb,2297.002801992528
hobby,2298.934308841843
shish,2300.692403486924
boggy,2301.746575342466
spook,2303.2201120797013
tooth,2303.431506849315
nixon,2305.6117683686175
plumb,2305.635118306351
kinky,2306.133872976339
gizmo,2309.109589041096
kyoto,2309.3938356164385
flynn,2309.906600249066
affix,2310.0479452054797
tight,2310.6214196762144
lymph,2310.930884184309
skulk,2313.60398505604
gully,2313.7322540473224
assam,2314.322540473225
biggs,2314.5790784557908
tokyo,2314.6849315068494
rufus,2316.439601494396
flood,2319.648816936488
psych,2319.7244707347445
nikko,2319.8119551681198
gunky,2319.8991282689913
fungi,2320.095579078456
booky,2320.724782067248
amman,2320.824408468244
pooch,2321.3636363636365
lipid,2321.7185554171856
queue,2321.931506849315
cocky,2323.2951432129516
scoff,2324.7391033623912
gloom,2324.7559153175594
thigh,2325.106787048568
fjord,2327.4377334993774
usurp,2328.0143212951434
putty,2328.082191780822
mugho,2328.2154420921543
chomp,2329.5678704856787
wholl,2329.9003735990036
idiom,2329.902864259029
civil,2330.011207970112
chunk,2332.2185554171856
abbas,2335.1186176836864
onion,2335.2845579078457
level,2335.3362391033625
czech,2335.5566625155666
lilly,2335.5790784557908
myrrh,2337.554171855542
forgo,2337.9019302615193
stiff,2338.3910336239105
hitch,2339.2067247820673
swish,2340.672478206725
skull,2340.9221668742216
bully,2341.323785803238
hobbs,2342.0087173100874
aback,2342.24501867995
bloom,2343.6992528019923
timid,2345.3038605230386
whisk,2346.633872976339
juror,2346.8356164383563
dully,2346.876712328767
rummy,2347.5616438356165
grump,2348.135118306351
fifty,2348.1444582814447
goody,2348.296388542964
walla,2348.6114570361146
ising,2349.02397260274
pluck,2350.4635740971357
ruddy,2350.835927770859
embed,2351.614881693649
vichy,2351.6799501867995
bunny,2355.7048567870484
glyph,2356.1223536737234
hondo,2356.2235367372355
musky,2358.0977584059774
dobbs,2360.236612702366
rever,2360.294520547945
expel,2360.316936488169
moody,2361.5348692403486
rigid,2362.220423412204
shuck,2363.2235367372355
congo,2363.445828144458
chaff,2364.4813200498133
bloop,2364.615193026152
